to_node   from_node   capacity          prob_failure
2           1          1000           .004
7           1          1000           .004
1           2          1000           .004
3           2          138.24           .004
4           2          147.05           .004
2           3          138.24           .004
6           3          1000           .004
2           4          147.05           .004
5           4          1000           .004
4           5          1000           .004
10           5          1000           .004
3           6          1000           .004
9           6          291.84           .004
1           7          1000           .004
8           7          147.05           .004
9           7          583.68           .004
7           8          147.05           .004
6           9          291.84           .004
7           9          583.68           .004
10           9          1000           .004
5           10          1000           .004
9           10          1000           .004
11           10          1000           .004
10           11          1000           .004
