to_node   from_node   capacity          prob_failure
2           1          500           .004
7           1          500           .004
1           2          500           .004
3           2          69.12           .004
4           2          73.525           .004
2           3          69.12           .004
6           3          500           .004
2           4          73.525           .004
5           4          500           .004
4           5          500           .004
10           5          500           .004
3           6          500           .004
9           6          145.92           .004
1           7          500           .004
8           7          73.525           .004
9           7          291.84           .004
7           8          73.525           .004
6           9          145.92           .004
7           9          291.84           .004
10           9          500           .004
5           10          500           .004
9           10          500           .004
11           10          500           .004
10           11          500           .004
