to_node   from_node   capacity          prob_failure
2           1          0           .004
7           1          0           .004
1           2          500           .004
3           2          500           .004
4           2          500           .004
2           3          500           .004
6           3          500           .004
2           4          500           .004
5           4          500           .004
4           5          500           .004
10           5          500           .004
3           6          500           .004
9           6          500           .004
1           7          500           .004
8           7          500           .004
9           7          500           .004
7           8          500           .004
6           9          500           .004
7           9          500           .004
10           9          500           .004
5           10          500           .004
9           10          500           .004
11           10          500           .004
10           11          500           .004
