to_node   from_node   capacity          prob_failure
1           4          69.12           .004
1           5          73.51           .004
1           11          500           .004
2           6          73.51           .004
2           10          291.84           .004
2           12          500           .004
3           9          500           .004
4           1          69.12           .004
4           8          500           .004
5           1          73.51           .004
5           7          500           .004
5           10          73.51           .004
6           2          73.51           .004
7           5          500           .004
7           9          500           .004
8           4          500           .004
8           10          145.92           .004
9           3          500           .004
9           7          500           .004
9           10           500           .004
10           2          291.84           .004
10           5          73.51           .004
10           8          145.92           .004
10           9           500           .004
11           1           500           .004
12           2           500           .004
