to_node   from_node   capacity          prob_failure
2           1          0           .004
3           1          0           .004
1           2          1000           .004
4           2          1000           .004
1           3          1000           .004
9           3          1000           .004
2           4          1000           .004
5           4          1000           .004
6           4          1000           .004
4           5          1000           .004
8           5          1000           .004
4           6          1000           .004
7           6          1000           .004
6           7          1000           .004
12           7          1000           .004
5           8          1000           .004
11           8          1000           .004
3           9          1000           .004
10           9          1000           .004
11           9          1000           .004
9           10          1000           .004
8           11          1000           .004
9           11          1000           .004
12           11          1000           .004
7           12          1000           .004
11           12          1000           .004
13           12          1000           .004
12           13          1000           .004
